i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	939524096	536870912	1185	-1.0	0.0	0.875	0.5	False	False	False					5.0	4.3875	18.0
0	939524096	671088640	1186	-1.0	0.0	0.875	0.625	False	False	False					5.0	4.3875	22.25
0	939524096	805306368	1187	-1.0	0.0	0.875	0.75	False	False	False					5.0	4.3875	26.5
0	939524096	939524096	2938	-1.0	0.0	0.875	0.875	False	False	False					5.0	4.3875	30.75
0	939524096	1073741824	2939	-1.0	0.0	0.875	1.0	False	False	False					5.0	4.3875	35.0
0	1006632960	134217728	2981	-1.0	0.0	0.9375	0.125	False	False	False					5.0	4.69375	5.25
0	1006632960	201326592	2982	-1.0	0.0	0.9375	0.1875	False	False	False					5.0	4.69375	7.375
0	1006632960	268435456	2983	-1.0	0.0	0.9375	0.25	False	False	False					5.0	4.69375	9.5
0	1073741824	0	3	0.0	0.0	1.0	0.0	False	False	True	0.0	0.0	0.0	0.0	5.0	5.0	1.0
0	1073741824	134217728	2756	-1.0	0.0	1.0	0.125	False	False	False					5.0	5.0	5.25
0	1073741824	201326592	2984	-1.0	0.0	1.0	0.1875	False	False	False					5.0	5.0	7.375
0	1073741824	268435456	921	-1.0	0.0	1.0	0.25	False	False	False					5.0	5.0	9.5
0	1073741824	402653184	4672	-1.0	0.0	1.0	0.375	False	False	False					5.0	5.0	13.75
0	1073741824	536870912	14	-1.0	0.0	1.0	0.5	False	False	False					5.0	5.0	18.0
0	1073741824	671088640	1188	-1.0	0.0	1.0	0.625	False	False	False					5.0	5.0	22.25
0	1073741824	805306368	343	-1.0	0.0	1.0	0.75	False	False	False					5.0	5.0	26.5
